latitude,longitude
37.59442706,-122.41772734
37.59394981,-122.41725494
37.5934711,-122.41679941
37.59299356,-122.41631844
37.59251235,-122.4158505
37.59203252,-122.41537575
37.59154663,-122.41489042
37.59105796,-122.41441579
37.59057884,-122.41394004
37.59009091,-122.4134617
37.58960219,-122.4129813
37.58911703,-122.41251286
37.5886342,-122.41204044
37.58813858,-122.4115566
37.58764936,-122.41106901
37.58717632,-122.41055426
37.58675148,-122.41001461
37.58632745,-122.40944962
37.5859045,-122.40887965
37.58548552,-122.40832241
37.58505556,-122.40777137
37.58460754,-122.40723805
37.58413946,-122.40673882
37.58366014,-122.40626574
37.58316142,-122.40580607
37.58265025,-122.40538619
37.58212561,-122.40500491
37.58159552,-122.404668
37.58104033,-122.40435267
37.58050067,-122.40406059
37.7176913,-122.47266989
37.71757277,-122.472679
37.71742399,-122.47268488
37.71725206,-122.47268702
37.71706086,-122.4726863
37.71683254,-122.47265288
37.71656687,-122.47259055
37.71627233,-122.4724933
37.71596643,-122.47236852
37.71564668,-122.4722474
37.71533715,-122.47213377
37.71502853,-122.47201392
37.71471915,-122.47191626
37.71441453,-122.47180693
37.71409265,-122.47170807
37.71376075,-122.47161925
37.71341142,-122.47154452
37.71305458,-122.47146956
37.71268953,-122.47141622
37.71231041,-122.47135664
37.71192213,-122.47132217
37.71153438,-122.47130699
37.71113429,-122.47130484
37.71073597,-122.47131793
37.71033502,-122.47131886
37.70993956,-122.47133277
37.70953548,-122.4713422
37.7091226,-122.47132668
37.70871434,-122.47133036
37.70829635,-122.47139947
37.69347507,-122.47056427
37.69295833,-122.47055704
37.69243412,-122.47054872
37.69191843,-122.47053777
37.6914024,-122.47053237
37.69087535,-122.47052767
37.69033598,-122.4705196
37.68980083,-122.47054317
37.68925096,-122.47062513
37.68872194,-122.47077548
37.6882049,-122.47094968
37.68770202,-122.47112025
37.68719565,-122.47128369
37.68669909,-122.47140524
37.68620135,-122.47147011
37.6856955,-122.47150044
37.68519548,-122.47152342
37.68470397,-122.47155045
37.684199,-122.47156807
37.68369728,-122.47160483
37.68319489,-122.47163561
37.68269022,-122.47165716
37.68218638,-122.47168841
37.68168082,-122.47169801
37.68118721,-122.47172187
37.68068118,-122.47173968
37.6801819,-122.47177009
37.67967996,-122.47178947
37.67918572,-122.47178316
37.6787142,-122.47171583
37.72220045,-122.47245299
37.72204264,-122.47245148
37.72195456,-122.47245768
37.72191138,-122.47245247
37.72189724,-122.47245083
37.72187909,-122.47245662
37.72186521,-122.47245362
37.72186729,-122.47245064
37.72185757,-122.47244839
37.72179169,-122.47244667
37.72167167,-122.47246277
37.72153962,-122.47248784
37.7213764,-122.47250689
37.72118822,-122.47251325
37.72098311,-122.47252094
37.72075588,-122.47253276
37.72050621,-122.47254604
37.72024286,-122.4725768
37.71996941,-122.47259836
37.71970444,-122.47261004
37.71947832,-122.47261645
37.71923282,-122.47263123
37.71897776,-122.47264584
37.71871159,-122.47263552
37.71843888,-122.47264739
37.71818693,-122.47266105
37.71796426,-122.47266827
37.71783749,-122.47266018
37.71779503,-122.4726526
37.71776852,-122.47266117
37.62600352,-122.42969817
37.62548021,-122.42927019
37.62493804,-122.42886563
37.62439338,-122.42848892
37.62385362,-122.42814519
37.62330016,-122.42778739
37.62274176,-122.42743656
37.62219539,-122.42709079
37.62164661,-122.42674058
37.62110975,-122.4263852
37.62056717,-122.42603181
37.62002114,-122.42567971
37.61947223,-122.42532674
37.61892591,-122.42498925
37.61836775,-122.42470096
37.61777982,-122.424492
37.61716942,-122.42433605
37.61656867,-122.42426994
37.61596216,-122.42427412
37.6153635,-122.42434973
37.61476049,-122.42449795
37.61417336,-122.42471504
37.61360385,-122.42501552
37.61305549,-122.42537186
37.61253512,-122.42576062
37.6120167,-122.42613328
37.61151152,-122.42648227
37.61099325,-122.42679663
37.61047539,-122.42707849
37.60996272,-122.42733377
37.73128035,-122.47195833
37.73116952,-122.47194851
37.73100401,-122.47195082
37.73081574,-122.47195347
37.73058818,-122.47195042
37.73032448,-122.47195247
37.73003708,-122.47197171
37.72975995,-122.47198653
37.72946954,-122.47201343
37.72917795,-122.4720279
37.7288611,-122.47204519
37.7285096,-122.47208207
37.72817599,-122.47209894
37.72782263,-122.47211742
37.72747447,-122.47214006
37.72713405,-122.47217081
37.72681828,-122.47217383
37.72648056,-122.47220661
37.72612975,-122.47222729
37.72578016,-122.47224439
37.72541141,-122.47224936
37.72505435,-122.47226736
37.72468109,-122.4723
37.72430836,-122.47231573
37.72395161,-122.47234739
37.72361006,-122.47236898
37.72327425,-122.47239347
37.72296651,-122.47241392
37.72266784,-122.47242993
37.72240326,-122.47244617
37.60945208,-122.4275434
37.60893793,-122.42772403
37.60841312,-122.42788173
37.60787478,-122.42801448
37.60732509,-122.42812317
37.60675859,-122.42818337
37.60616843,-122.4281827
37.60556953,-122.42814604
37.60497858,-122.42803642
37.6043688,-122.42786682
37.60379444,-122.42763531
37.60323017,-122.42734012
37.6026774,-122.42698116
37.60215107,-122.42657224
37.60166785,-122.42612422
37.60120102,-122.42561425
37.60075436,-122.42506087
37.60032332,-122.42451841
37.59988845,-122.42397226
37.59944444,-122.42343554
37.59899773,-122.42289653
37.59855059,-122.42234478
37.59812484,-122.42178382
37.59767201,-122.4212525
37.59724356,-122.42070141
37.59679707,-122.42016719
37.59633903,-122.41965338
37.59587302,-122.41915611
37.59539789,-122.41867277
37.59490952,-122.41820509
37.70786811,-122.47145208
37.70742896,-122.47149763
37.70698963,-122.47154565
37.70652994,-122.47161443
37.70607104,-122.47165773
37.70558674,-122.47171561
37.70510476,-122.47176709
37.70462868,-122.47181305
37.70416006,-122.47184135
37.70363814,-122.47184688
37.70310126,-122.47183616
37.70254975,-122.47181215
37.70198757,-122.47178327
37.70143308,-122.47176668
37.70092087,-122.47174542
37.70043339,-122.47171962
37.69995249,-122.47170177
37.69948754,-122.47166228
37.69902645,-122.47161095
37.69857311,-122.47155566
37.69812317,-122.47151035
37.69769236,-122.47144829
37.69726554,-122.47133875
37.69683153,-122.47120009
37.69639883,-122.47104636
37.69595462,-122.4708809
37.69549777,-122.47073266
37.69501548,-122.47062403
37.69452469,-122.47057715
37.69401405,-122.47057392
37.71776704,-122.47266249
37.71776311,-122.47266381
37.71776512,-122.4726642
37.7177608,-122.47266632
37.71775908,-122.47266921
37.71776054,-122.47266981
37.71776122,-122.47266946
37.71776135,-122.47266951
37.71776131,-122.47266947
37.71776132,-122.47266939
37.71776135,-122.47266936
37.71776137,-122.47266935
37.71776135,-122.47266933
37.71776132,-122.4726694
37.71776131,-122.47266943
37.71776131,-122.4726694
37.71776135,-122.47266937
37.71776137,-122.47266935
37.7177614,-122.47266932
37.71776146,-122.47266932
37.71776145,-122.47266929
37.71776143,-122.47266929
37.71776138,-122.47266934
37.7177613,-122.47266941
37.71776124,-122.4726694
37.71776117,-122.47266941
37.71776116,-122.47266936
37.71776116,-122.47266933
37.71776115,-122.47266934
37.71775096,-122.47266721
37.64077086,-122.44317556
37.64033539,-122.44276162
37.63988623,-122.44234405
37.63942925,-122.44190539
37.63896027,-122.44145361
37.63847073,-122.44100896
37.63796778,-122.44059191
37.63741901,-122.44020532
37.6368541,-122.43988753
37.63626448,-122.43960271
