latitude,longitude
37.6534143,-122.45546615
37.65373725,-122.4558949
37.65406704,-122.45631733
37.6544074,-122.4567501
37.65473969,-122.45718186
37.65508541,-122.45761954
37.65543188,-122.45805728
37.65577714,-122.45849451
37.65612747,-122.45894088
37.65648198,-122.45939768
37.65685944,-122.45986333
37.65722888,-122.46031814
37.65759719,-122.46078483
37.65795084,-122.46124848
37.65830498,-122.46172224
37.65866391,-122.46219538
37.65902268,-122.46268156
37.65941091,-122.46315699
37.65977091,-122.4636243
37.66018096,-122.46406856
37.66062511,-122.46445993
37.66109049,-122.46479145
37.6615915,-122.46507889
37.66210481,-122.46528203
37.66262876,-122.4654361
37.66317339,-122.46551968
37.66370005,-122.46554631
37.66423128,-122.46553785
37.66476098,-122.46554581
37.66529773,-122.46554738
37.69587963,-122.47065205
37.69632789,-122.47080645
37.69679136,-122.47097316
37.6972756,-122.4711298
37.69778639,-122.47124374
37.69831519,-122.47130845
37.69883596,-122.47133025
37.69935288,-122.47133889
37.69987465,-122.4713451
37.70042032,-122.47136493
37.70096632,-122.47137489
37.70154469,-122.47139315
37.70208149,-122.47141614
37.70263712,-122.47147658
37.70313751,-122.47148053
37.70367525,-122.47150147
37.70419129,-122.47148742
37.70467809,-122.47143834
37.70518463,-122.47137472
37.70568138,-122.47131499
37.70619435,-122.4712571
37.70663682,-122.47118735
37.70706647,-122.47113013
37.70751839,-122.47108471
37.70792433,-122.47103698
37.7083065,-122.47099891
37.70867445,-122.4709996
37.70904179,-122.47100068
37.70943981,-122.4710109
37.70986366,-122.47101343
37.67983528,-122.47166677
37.68033517,-122.47164212
37.68084647,-122.47160012
37.68136924,-122.47156569
37.68189378,-122.47153334
37.68240889,-122.47151125
37.68294131,-122.47147238
37.68347982,-122.47142556
37.68402311,-122.47137072
37.68457612,-122.47133117
37.6851445,-122.47129601
37.68568565,-122.47126805
37.68624704,-122.47121908
37.68679832,-122.47112088
37.68734989,-122.47098538
37.68789381,-122.47081671
37.68844214,-122.47064676
37.68895454,-122.47048661
37.68946931,-122.47035945
37.6899769,-122.47031839
37.69052977,-122.47030105
37.69108314,-122.47031862
37.69163429,-122.47033592
37.69219717,-122.47032845
37.69275705,-122.47033141
37.69332575,-122.47033667
37.69390741,-122.47034315
37.69444536,-122.47035467
37.69495403,-122.47040599
37.69543271,-122.4705088
37.66583575,-122.46554138
37.66637447,-122.46554573
37.66692544,-122.46555428
37.66748018,-122.46556065
37.66801479,-122.46560846
37.66855068,-122.46567789
37.66908926,-122.46577651
37.66958948,-122.46591151
37.67011895,-122.46606498
37.67061413,-122.46624427
37.6710877,-122.46644764
37.67155073,-122.46669854
37.67203535,-122.46698395
37.67249019,-122.46728423
37.67291579,-122.46760227
37.67335635,-122.46795232
37.67376917,-122.46831144
37.67418807,-122.46866883
37.67463866,-122.46903808
37.67502986,-122.46937017
37.67542888,-122.46969653
37.67583504,-122.47003327
37.67624137,-122.47035875
37.67664841,-122.47068992
37.67704251,-122.47098429
37.67745859,-122.47121826
37.67790984,-122.47141226
37.67836233,-122.47154996
37.67884677,-122.47164346
37.67933048,-122.47168715
37.58547111,-122.40776975
37.58585554,-122.40829198
37.58623128,-122.40882848
37.58660283,-122.40937076
37.58697269,-122.4099179
37.5873424,-122.41045616
37.58775983,-122.41094046
37.58818939,-122.41138535
37.58863322,-122.41181731
37.58904728,-122.41222158
37.5894791,-122.41263842
37.58990739,-122.41304806
37.59031855,-122.41346439
37.59075506,-122.41389218
37.59119196,-122.41431511
37.59162415,-122.41474392
37.59205558,-122.41516806
37.59251096,-122.4156001
37.59296763,-122.41604882
37.59342714,-122.41649501
37.59388782,-122.41695143
37.59434031,-122.41741314
37.59482268,-122.41789171
37.59530681,-122.41836987
37.59578582,-122.4188458
37.59625885,-122.41933105
37.59672846,-122.41983708
37.59718408,-122.42037731
37.59762144,-122.4209123
37.59805771,-122.4214463
37.613659,-122.42461502
37.61417384,-122.42435943
37.61471681,-122.42415519
37.61528155,-122.42405064
37.61586085,-122.4240077
37.61644317,-122.42402259
37.61702188,-122.42409569
37.61757706,-122.424235
37.61811663,-122.42442385
